Area|Ethnic group|Age group|Sex|Year|Value|Flags
"Total - New Zealand by District Health Board"|"European only"|"35-39 years"|"Female"|"2018"|79935|
"Total - New Zealand by District Health Board"|"Maori only"|"35-39 years"|"Male"|"2018"|10488|
"Total - New Zealand by District Health Board"|"Maori only"|"35-39 years"|"Female"|"2018"|10023|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"35-39 years"|"Male"|"2018"|8193|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"35-39 years"|"Female"|"2018"|7785|
"Total - New Zealand by District Health Board"|"Asian only"|"35-39 years"|"Male"|"2018"|31995|
"Total - New Zealand by District Health Board"|"Asian only"|"35-39 years"|"Female"|"2018"|33060|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"35-39 years"|"Male"|"2018"|3501|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"35-39 years"|"Female"|"2018"|3333|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"35-39 years"|"Male"|"2018"|1896|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"35-39 years"|"Female"|"2018"|1281|
"Total - New Zealand by District Health Board"|"Maori/European"|"35-39 years"|"Male"|"2018"|8643|
"Total - New Zealand by District Health Board"|"Maori/European"|"35-39 years"|"Female"|"2018"|10647|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"35-39 years"|"Male"|"2018"|714|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"35-39 years"|"Female"|"2018"|768|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"35-39 years"|"Male"|"2018"|1296|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"35-39 years"|"Female"|"2018"|1482|
"Total - New Zealand by District Health Board"|"Asian/European"|"35-39 years"|"Male"|"2018"|516|
"Total - New Zealand by District Health Board"|"Asian/European"|"35-39 years"|"Female"|"2018"|660|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"35-39 years"|"Male"|"2018"|789|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"35-39 years"|"Female"|"2018"|870|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"35-39 years"|"Male"|"2018"|444|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"35-39 years"|"Female"|"2018"|540|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"35-39 years"|"Male"|"2018"|246|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"35-39 years"|"Female"|"2018"|309|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"20-24 years"|"Male"|"2018"|1587|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"20-24 years"|"Female"|"2018"|1602|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"20-24 years"|"Male"|"2018"|2379|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"20-24 years"|"Female"|"2018"|2436|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"20-24 years"|"Male"|"2018"|1386|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"20-24 years"|"Female"|"2018"|1452|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"20-24 years"|"Male"|"2018"|1179|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"20-24 years"|"Female"|"2018"|1113|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"20-24 years"|"Male"|"2018"|1404|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"20-24 years"|"Female"|"2018"|1458|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"20-24 years"|"Male"|"2018"|495|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"20-24 years"|"Female"|"2018"|570|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"20-24 years"|"Male"|"2018"|102|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"20-24 years"|"Female"|"2018"|90|
"Total - New Zealand by District Health Board"|"European only"|"20-24 years"|"Male"|"2018"|80793|
"Total - New Zealand by District Health Board"|"European only"|"20-24 years"|"Female"|"2018"|77181|
"Total - New Zealand by District Health Board"|"Maori only"|"20-24 years"|"Male"|"2018"|14121|
"Total - New Zealand by District Health Board"|"Maori only"|"20-24 years"|"Female"|"2018"|13077|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"20-24 years"|"Male"|"2018"|11289|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"20-24 years"|"Female"|"2018"|11352|
"Total - New Zealand by District Health Board"|"Asian only"|"20-24 years"|"Male"|"2018"|31674|
"Total - New Zealand by District Health Board"|"Asian only"|"20-24 years"|"Female"|"2018"|25578|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"20-24 years"|"Male"|"2018"|2151|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"20-24 years"|"Female"|"2018"|2055|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"20-24 years"|"Male"|"2018"|1338|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"20-24 years"|"Female"|"2018"|939|
"Total - New Zealand by District Health Board"|"Maori/European"|"20-24 years"|"Male"|"2018"|13833|
"Total - New Zealand by District Health Board"|"Maori/European"|"20-24 years"|"Female"|"2018"|14763|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"20-24 years"|"Male"|"2018"|1587|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"20-24 years"|"Female"|"2018"|1602|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"20-24 years"|"Male"|"2018"|2379|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"20-24 years"|"Female"|"2018"|2436|
"Total - New Zealand by District Health Board"|"Asian/European"|"20-24 years"|"Male"|"2018"|1386|
"Total - New Zealand by District Health Board"|"Asian/European"|"20-24 years"|"Female"|"2018"|1452|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"20-24 years"|"Male"|"2018"|1179|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"20-24 years"|"Female"|"2018"|1113|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"20-24 years"|"Male"|"2018"|1404|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"20-24 years"|"Female"|"2018"|1458|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"20-24 years"|"Male"|"2018"|495|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"20-24 years"|"Female"|"2018"|570|
"Total - New Zealand by District Health Board"|"Four to six groups"|"20-24 years"|"Male"|"2018"|102|
"Total - New Zealand by District Health Board"|"Four to six groups"|"35-39 years"|"Male"|"2018"|45|
"Total - New Zealand by District Health Board"|"Four to six groups"|"35-39 years"|"Female"|"2018"|45|
"Total - New Zealand by Regional Council/SA2"|"European only"|"45-49 years"|"Male"|"2018"|100809|
"Total - New Zealand by Regional Council/SA2"|"European only"|"45-49 years"|"Female"|"2018"|106527|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"45-49 years"|"Male"|"2018"|12795|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"45-49 years"|"Female"|"2018"|12348|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"45-49 years"|"Male"|"2018"|7923|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"45-49 years"|"Female"|"2018"|7674|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"45-49 years"|"Male"|"2018"|18273|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"45-49 years"|"Female"|"2018"|22290|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"45-49 years"|"Male"|"2018"|1911|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"45-49 years"|"Female"|"2018"|1695|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"45-49 years"|"Male"|"2018"|2679|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"45-49 years"|"Female"|"2018"|1824|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"45-49 years"|"Male"|"2018"|8058|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"45-49 years"|"Female"|"2018"|10344|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"45-49 years"|"Male"|"2018"|351|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"45-49 years"|"Female"|"2018"|381|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"45-49 years"|"Male"|"2018"|1038|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"45-49 years"|"Female"|"2018"|1197|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"45-49 years"|"Male"|"2018"|336|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"45-49 years"|"Female"|"2018"|420|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"45-49 years"|"Male"|"2018"|666|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"45-49 years"|"Female"|"2018"|765|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"45-49 years"|"Male"|"2018"|231|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"45-49 years"|"Female"|"2018"|297|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"45-49 years"|"Male"|"2018"|270|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"45-49 years"|"Female"|"2018"|297|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"45-49 years"|"Male"|"2018"|51|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"45-49 years"|"Female"|"2018"|33|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"45-49 years"|"Male"|"2018"|100809|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"45-49 years"|"Female"|"2018"|106527|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"45-49 years"|"Male"|"2018"|12795|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"45-49 years"|"Female"|"2018"|12348|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"45-49 years"|"Male"|"2018"|7923|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"45-49 years"|"Female"|"2018"|7674|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"45-49 years"|"Male"|"2018"|18273|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"45-49 years"|"Female"|"2018"|22290|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"45-49 years"|"Male"|"2018"|1911|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"45-49 years"|"Female"|"2018"|1695|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"45-49 years"|"Male"|"2018"|2679|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"45-49 years"|"Female"|"2018"|1824|
"Total - New Zealand by District Health Board"|"Four to six groups"|"20-24 years"|"Female"|"2018"|90|
"Total - New Zealand by Regional Council/SA2"|"European only"|"30-34 years"|"Male"|"2018"|77661|
"Total - New Zealand by Regional Council/SA2"|"European only"|"30-34 years"|"Female"|"2018"|79659|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"30-34 years"|"Male"|"2018"|11397|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"30-34 years"|"Female"|"2018"|11085|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"30-34 years"|"Male"|"2018"|8841|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"30-34 years"|"Female"|"2018"|8352|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"30-34 years"|"Male"|"2018"|37539|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"30-34 years"|"Female"|"2018"|39888|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"30-34 years"|"Male"|"2018"|3978|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"30-34 years"|"Female"|"2018"|4017|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"30-34 years"|"Male"|"2018"|1830|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"30-34 years"|"Female"|"2018"|1242|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"30-34 years"|"Male"|"2018"|9450|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"30-34 years"|"Female"|"2018"|11751|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"30-34 years"|"Male"|"2018"|825|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"30-34 years"|"Female"|"2018"|918|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"30-34 years"|"Male"|"2018"|1488|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"30-34 years"|"Female"|"2018"|1698|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"30-34 years"|"Male"|"2018"|711|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"30-34 years"|"Female"|"2018"|819|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"30-34 years"|"Male"|"2018"|843|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"30-34 years"|"Female"|"2018"|960|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"30-34 years"|"Male"|"2018"|630|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"30-34 years"|"Female"|"2018"|741|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"30-34 years"|"Male"|"2018"|294|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"30-34 years"|"Female"|"2018"|321|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"30-34 years"|"Male"|"2018"|51|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"30-34 years"|"Female"|"2018"|54|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"30-34 years"|"Male"|"2018"|77661|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"30-34 years"|"Female"|"2018"|79659|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"30-34 years"|"Male"|"2018"|11397|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"30-34 years"|"Female"|"2018"|11085|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"30-34 years"|"Male"|"2018"|8841|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"30-34 years"|"Female"|"2018"|8352|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"30-34 years"|"Male"|"2018"|37539|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"30-34 years"|"Female"|"2018"|39888|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"30-34 years"|"Male"|"2018"|3978|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"30-34 years"|"Female"|"2018"|4017|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"30-34 years"|"Male"|"2018"|1830|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"30-34 years"|"Female"|"2018"|1242|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"30-34 years"|"Male"|"2018"|9450|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"45-49 years"|"Male"|"2018"|8058|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"45-49 years"|"Female"|"2018"|10344|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"45-49 years"|"Male"|"2018"|351|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"45-49 years"|"Female"|"2018"|381|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"45-49 years"|"Male"|"2018"|1038|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"45-49 years"|"Female"|"2018"|1197|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"45-49 years"|"Male"|"2018"|336|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"45-49 years"|"Female"|"2018"|420|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"45-49 years"|"Male"|"2018"|666|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"45-49 years"|"Female"|"2018"|765|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"45-49 years"|"Male"|"2018"|231|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"45-49 years"|"Female"|"2018"|297|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"45-49 years"|"Male"|"2018"|270|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"45-49 years"|"Female"|"2018"|297|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"45-49 years"|"Male"|"2018"|51|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"45-49 years"|"Female"|"2018"|33|
"Total - New Zealand by District Health Board"|"European only"|"45-49 years"|"Male"|"2018"|100809|
"Total - New Zealand by District Health Board"|"European only"|"45-49 years"|"Female"|"2018"|106527|
"Total - New Zealand by District Health Board"|"Maori only"|"45-49 years"|"Male"|"2018"|12795|
"Total - New Zealand by District Health Board"|"Maori only"|"45-49 years"|"Female"|"2018"|12348|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"45-49 years"|"Male"|"2018"|7923|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"45-49 years"|"Female"|"2018"|7674|
"Total - New Zealand by District Health Board"|"Asian only"|"45-49 years"|"Male"|"2018"|18273|
"Total - New Zealand by District Health Board"|"Asian only"|"45-49 years"|"Female"|"2018"|22290|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"45-49 years"|"Male"|"2018"|1911|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"45-49 years"|"Female"|"2018"|1695|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"45-49 years"|"Male"|"2018"|2679|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"45-49 years"|"Female"|"2018"|1824|
"Total - New Zealand by District Health Board"|"Maori/European"|"45-49 years"|"Male"|"2018"|8058|
"Total - New Zealand by District Health Board"|"Maori/European"|"45-49 years"|"Female"|"2018"|10344|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"45-49 years"|"Male"|"2018"|351|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"45-49 years"|"Female"|"2018"|381|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"45-49 years"|"Male"|"2018"|1038|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"45-49 years"|"Female"|"2018"|1197|
"Total - New Zealand by District Health Board"|"Asian/European"|"45-49 years"|"Male"|"2018"|336|
"Total - New Zealand by District Health Board"|"Asian/European"|"45-49 years"|"Female"|"2018"|420|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"45-49 years"|"Male"|"2018"|666|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"45-49 years"|"Female"|"2018"|765|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"45-49 years"|"Male"|"2018"|231|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"45-49 years"|"Female"|"2018"|297|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"45-49 years"|"Male"|"2018"|270|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"30-34 years"|"Female"|"2018"|11751|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"30-34 years"|"Male"|"2018"|825|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"30-34 years"|"Female"|"2018"|918|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"30-34 years"|"Male"|"2018"|1488|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"30-34 years"|"Female"|"2018"|1698|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"30-34 years"|"Male"|"2018"|711|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"30-34 years"|"Female"|"2018"|819|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"30-34 years"|"Male"|"2018"|843|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"30-34 years"|"Female"|"2018"|960|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"30-34 years"|"Male"|"2018"|630|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"30-34 years"|"Female"|"2018"|741|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"30-34 years"|"Male"|"2018"|294|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"30-34 years"|"Female"|"2018"|321|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"30-34 years"|"Male"|"2018"|51|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"30-34 years"|"Female"|"2018"|54|
"Total - New Zealand by District Health Board"|"European only"|"30-34 years"|"Male"|"2018"|77661|
"Total - New Zealand by District Health Board"|"European only"|"30-34 years"|"Female"|"2018"|79659|
"Total - New Zealand by District Health Board"|"Maori only"|"30-34 years"|"Male"|"2018"|11397|
"Total - New Zealand by District Health Board"|"Maori only"|"30-34 years"|"Female"|"2018"|11085|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"30-34 years"|"Male"|"2018"|8841|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"30-34 years"|"Female"|"2018"|8352|
"Total - New Zealand by District Health Board"|"Asian only"|"30-34 years"|"Male"|"2018"|37539|
"Total - New Zealand by District Health Board"|"Asian only"|"30-34 years"|"Female"|"2018"|39888|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"30-34 years"|"Male"|"2018"|3978|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"30-34 years"|"Female"|"2018"|4017|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"30-34 years"|"Male"|"2018"|1830|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"30-34 years"|"Female"|"2018"|1242|
"Total - New Zealand by District Health Board"|"Maori/European"|"30-34 years"|"Male"|"2018"|9450|
"Total - New Zealand by District Health Board"|"Maori/European"|"30-34 years"|"Female"|"2018"|11751|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"30-34 years"|"Male"|"2018"|825|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"30-34 years"|"Female"|"2018"|918|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"30-34 years"|"Male"|"2018"|1488|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"30-34 years"|"Female"|"2018"|1698|
"Total - New Zealand by District Health Board"|"Asian/European"|"30-34 years"|"Male"|"2018"|711|
"Total - New Zealand by District Health Board"|"Asian/European"|"30-34 years"|"Female"|"2018"|819|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"30-34 years"|"Male"|"2018"|843|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"30-34 years"|"Female"|"2018"|960|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"30-34 years"|"Male"|"2018"|630|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"30-34 years"|"Female"|"2018"|741|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"30-34 years"|"Male"|"2018"|294|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"30-34 years"|"Female"|"2018"|321|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"45-49 years"|"Female"|"2018"|297|
"Total - New Zealand by District Health Board"|"Four to six groups"|"45-49 years"|"Male"|"2018"|51|
"Total - New Zealand by District Health Board"|"Four to six groups"|"45-49 years"|"Female"|"2018"|33|
"Total - New Zealand by Regional Council/SA2"|"European only"|"55-59 years"|"Male"|"2018"|105888|
"Total - New Zealand by Regional Council/SA2"|"European only"|"55-59 years"|"Female"|"2018"|109227|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"55-59 years"|"Male"|"2018"|11736|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"55-59 years"|"Female"|"2018"|11883|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"55-59 years"|"Male"|"2018"|5727|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"55-59 years"|"Female"|"2018"|5862|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"55-59 years"|"Male"|"2018"|13059|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"55-59 years"|"Female"|"2018"|16128|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"55-59 years"|"Male"|"2018"|1125|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"55-59 years"|"Female"|"2018"|1029|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"55-59 years"|"Male"|"2018"|2406|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"55-59 years"|"Female"|"2018"|1797|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"55-59 years"|"Male"|"2018"|5637|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"55-59 years"|"Female"|"2018"|7275|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"55-59 years"|"Male"|"2018"|219|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"55-59 years"|"Female"|"2018"|228|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"55-59 years"|"Male"|"2018"|609|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"55-59 years"|"Female"|"2018"|771|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"55-59 years"|"Male"|"2018"|192|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"55-59 years"|"Female"|"2018"|243|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"55-59 years"|"Male"|"2018"|480|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"55-59 years"|"Female"|"2018"|516|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"55-59 years"|"Male"|"2018"|141|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"55-59 years"|"Female"|"2018"|159|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"55-59 years"|"Male"|"2018"|141|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"55-59 years"|"Female"|"2018"|183|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"55-59 years"|"Male"|"2018"|51|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"55-59 years"|"Female"|"2018"|33|
