Area|Religious affiliation|Age group|Sex|Year|Value|Flags
"Tasman District"|"Total people - with at least one religious affiliation"|"50-54 years"|"Male"|"2018"|603|
"Tasman District"|"Total people - with at least one religious affiliation"|"50-54 years"|"Female"|"2018"|744|
"Tasman District"|"No religion"|"50-54 years"|"Male"|"2018"|1176|
"Tasman District"|"No religion"|"50-54 years"|"Female"|"2018"|1122|
"Tasman District"|"Object to answering"|"50-54 years"|"Male"|"2018"|159|
"Tasman District"|"Object to answering"|"50-54 years"|"Female"|"2018"|195|
"Kaikoura District"|"Total people - with at least one religious affiliation"|"50-54 years"|"Male"|"2018"|36|
"Kaikoura District"|"Total people - with at least one religious affiliation"|"50-54 years"|"Female"|"2018"|87|
"Kaikoura District"|"No religion"|"50-54 years"|"Male"|"2018"|69|
"Kaikoura District"|"No religion"|"50-54 years"|"Female"|"2018"|45|
"Kaikoura District"|"Object to answering"|"50-54 years"|"Male"|"2018"|6|
"Kaikoura District"|"Object to answering"|"50-54 years"|"Female"|"2018"|18|
"Ashburton District"|"Total people - with at least one religious affiliation"|"50-54 years"|"Male"|"2018"|513|
"Ashburton District"|"Total people - with at least one religious affiliation"|"50-54 years"|"Female"|"2018"|630|
"Ashburton District"|"No religion"|"50-54 years"|"Male"|"2018"|441|
"Ashburton District"|"No religion"|"50-54 years"|"Female"|"2018"|366|
"Ashburton District"|"Object to answering"|"50-54 years"|"Male"|"2018"|105|
"Ashburton District"|"Object to answering"|"50-54 years"|"Female"|"2018"|78|
"Waimate District"|"Total people - with at least one religious affiliation"|"50-54 years"|"Male"|"2018"|111|
"Waimate District"|"Total people - with at least one religious affiliation"|"50-54 years"|"Female"|"2018"|129|
"Waimate District"|"No religion"|"50-54 years"|"Male"|"2018"|138|
"Waimate District"|"No religion"|"50-54 years"|"Female"|"2018"|138|
"Waimate District"|"Object to answering"|"50-54 years"|"Male"|"2018"|30|
"Waimate District"|"Object to answering"|"50-54 years"|"Female"|"2018"|42|
"Central Otago District"|"Total people - with at least one religious affiliation"|"50-54 years"|"Male"|"2018"|267|
"Central Otago District"|"Total people - with at least one religious affiliation"|"50-54 years"|"Female"|"2018"|357|
"Central Otago District"|"No religion"|"50-54 years"|"Male"|"2018"|378|
"Central Otago District"|"No religion"|"50-54 years"|"Female"|"2018"|354|
"Central Otago District"|"Object to answering"|"50-54 years"|"Male"|"2018"|66|
"Central Otago District"|"Object to answering"|"50-54 years"|"Female"|"2018"|57|
"Clutha District"|"Total people - with at least one religious affiliation"|"50-54 years"|"Male"|"2018"|231|
"Clutha District"|"Total people - with at least one religious affiliation"|"50-54 years"|"Female"|"2018"|306|
"Clutha District"|"No religion"|"50-54 years"|"Male"|"2018"|369|
"Clutha District"|"No religion"|"50-54 years"|"Female"|"2018"|294|
"Clutha District"|"Object to answering"|"50-54 years"|"Male"|"2018"|66|
"Clutha District"|"Object to answering"|"50-54 years"|"Female"|"2018"|69|
"Invercargill City"|"Total people - with at least one religious affiliation"|"50-54 years"|"Male"|"2018"|738|
"Invercargill City"|"Total people - with at least one religious affiliation"|"50-54 years"|"Female"|"2018"|963|
"Invercargill City"|"No religion"|"50-54 years"|"Male"|"2018"|843|
"Invercargill City"|"No religion"|"50-54 years"|"Female"|"2018"|690|
"Invercargill City"|"Object to answering"|"50-54 years"|"Male"|"2018"|165|
"Invercargill City"|"Object to answering"|"50-54 years"|"Female"|"2018"|183|
"Whangarei District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1227|
"Whangarei District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1608|
"Whangarei District"|"No religion"|"55-59 years"|"Male"|"2018"|1512|
"Whangarei District"|"No religion"|"55-59 years"|"Female"|"2018"|1392|
"Whangarei District"|"Object to answering"|"55-59 years"|"Male"|"2018"|321|
"Whangarei District"|"Object to answering"|"55-59 years"|"Female"|"2018"|369|
"Kaipara District"|"Object to answering"|"55-59 years"|"Female"|"2018"|120|
"Auckland"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|22932|
"Auckland"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|27138|
"Auckland"|"No religion"|"55-59 years"|"Male"|"2018"|18738|
"Auckland"|"No religion"|"55-59 years"|"Female"|"2018"|16230|
"Auckland"|"Object to answering"|"55-59 years"|"Male"|"2018"|3246|
"Auckland"|"Object to answering"|"55-59 years"|"Female"|"2018"|3501|
"Rodney Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|918|
"Rodney Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1119|
"Rodney Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|1392|
"Rodney Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|1257|
"Rodney Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|222|
"Rodney Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|225|
"Hibiscus and Bays Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1359|
"Hibiscus and Bays Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1818|
"Hibiscus and Bays Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|1647|
"Hibiscus and Bays Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|1470|
"Hibiscus and Bays Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|279|
"Hibiscus and Bays Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|294|
"Upper Harbour Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|885|
"Upper Harbour Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1053|
"Upper Harbour Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|861|
"Upper Harbour Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|747|
"Upper Harbour Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|105|
"Upper Harbour Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|132|
"Kaipatiki Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1083|
"Kaipatiki Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1431|
"Kaipatiki Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|972|
"Kaipatiki Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|882|
"Kaipatiki Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|159|
"Kaipatiki Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|192|
"Devonport-Takapuna Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|792|
"Devonport-Takapuna Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1008|
"Devonport-Takapuna Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|858|
"Devonport-Takapuna Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|747|
"Devonport-Takapuna Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|114|
"Devonport-Takapuna Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|132|
"Henderson-Massey Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1725|
"Henderson-Massey Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|2031|
"Henderson-Massey Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|1236|
"Henderson-Massey Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|999|
"Henderson-Massey Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|249|
"Henderson-Massey Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|300|
"Waitakere Ranges Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|702|
"Waitakere Ranges Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|801|
"Waitakere Ranges Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|873|
"Waitakere Ranges Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|798|
"Waitakere Ranges Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|147|
"Waitakere Ranges Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|147|
"Great Barrier Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|15|
"Great Barrier Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|12|
"Great Barrier Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|36|
"Great Barrier Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|30|
"Great Barrier Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|9|
"Great Barrier Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|6|
"Waiheke Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|117|
"Waiheke Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|141|
"Waiheke Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|210|
"Waiheke Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|198|
"Waiheke Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|39|
"Waiheke Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|33|
"Waitemata Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|831|
"Waitemata Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|921|
"Waitemata Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|1083|
"Waitemata Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|924|
"Waitemata Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|156|
"Waitemata Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|171|
"Whau Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1164|
"Whau Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1383|
"Whau Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|813|
"Whau Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|678|
"Whau Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|159|
"Whau Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|159|
"Albert-Eden Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1191|
"Albert-Eden Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1410|
"Albert-Eden Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|1308|
"Albert-Eden Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|1152|
"Albert-Eden Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|180|
"Albert-Eden Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|183|
"Puketapapa Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1047|
"Puketapapa Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1179|
"Puketapapa Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|525|
"Puketapapa Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|510|
"Puketapapa Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|111|
"Puketapapa Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|99|
"Orakei Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1326|
"Orakei Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1755|
"Orakei Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|1101|
"Orakei Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|1002|
"Orakei Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|153|
"Orakei Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|177|
"Maungakiekie-Tamaki Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1098|
"Maungakiekie-Tamaki Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1293|
"Maungakiekie-Tamaki Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|654|
"Maungakiekie-Tamaki Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|561|
"Maungakiekie-Tamaki Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|147|
"Maungakiekie-Tamaki Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|138|
"Howick Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|2310|
"Howick Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|2580|
"Howick Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|1647|
"Howick Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|1476|
"Howick Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|261|
"Howick Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|285|
"Mangere-Otahuhu Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1401|
"Mangere-Otahuhu Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1569|
"Mangere-Otahuhu Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|399|
"Mangere-Otahuhu Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|285|
"Mangere-Otahuhu Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|105|
"Mangere-Otahuhu Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|126|
"Otara-Papatoetoe Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1464|
"Otara-Papatoetoe Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1638|
"Otara-Papatoetoe Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|405|
"Otara-Papatoetoe Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|297|
"Otara-Papatoetoe Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|132|
"Otara-Papatoetoe Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|141|
"Manurewa Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1515|
"Manurewa Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1701|
"Manurewa Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|738|
"Manurewa Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|555|
"Manurewa Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|138|
"Manurewa Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|171|
"Papakura Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|834|
"Papakura Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|936|
"Papakura Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|624|
"Papakura Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|552|
"Papakura Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|126|
"Papakura Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|135|
"Franklin Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1155|
"Franklin Local Board Area"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1362|
"Franklin Local Board Area"|"No religion"|"55-59 years"|"Male"|"2018"|1353|
"Franklin Local Board Area"|"No religion"|"55-59 years"|"Female"|"2018"|1110|
"Franklin Local Board Area"|"Object to answering"|"55-59 years"|"Male"|"2018"|252|
"Franklin Local Board Area"|"Object to answering"|"55-59 years"|"Female"|"2018"|249|
"Thames-Coromandel District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|360|
"Thames-Coromandel District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|579|
"Thames-Coromandel District"|"No religion"|"55-59 years"|"Male"|"2018"|630|
"Thames-Coromandel District"|"No religion"|"55-59 years"|"Female"|"2018"|624|
"Thames-Coromandel District"|"Object to answering"|"55-59 years"|"Male"|"2018"|126|
"Thames-Coromandel District"|"Object to answering"|"55-59 years"|"Female"|"2018"|132|
"Hauraki District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|294|
"Hauraki District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|348|
"Hauraki District"|"No religion"|"55-59 years"|"Male"|"2018"|384|
"Hauraki District"|"No religion"|"55-59 years"|"Female"|"2018"|345|
"Hauraki District"|"Object to answering"|"55-59 years"|"Male"|"2018"|78|
"Hauraki District"|"Object to answering"|"55-59 years"|"Female"|"2018"|93|
"Waikato District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1038|
"Waikato District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1317|
"Waikato District"|"No religion"|"55-59 years"|"Male"|"2018"|1332|
"Waikato District"|"No religion"|"55-59 years"|"Female"|"2018"|1035|
"Waikato District"|"Object to answering"|"55-59 years"|"Male"|"2018"|270|
"Waikato District"|"Object to answering"|"55-59 years"|"Female"|"2018"|267|
"Matamata-Piako District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|450|
"Matamata-Piako District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|639|
"Matamata-Piako District"|"No religion"|"55-59 years"|"Male"|"2018"|549|
"Matamata-Piako District"|"No religion"|"55-59 years"|"Female"|"2018"|459|
"Matamata-Piako District"|"Object to answering"|"55-59 years"|"Male"|"2018"|108|
"Matamata-Piako District"|"Object to answering"|"55-59 years"|"Female"|"2018"|141|
"Hamilton City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1947|
"Hamilton City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|2580|
"Hamilton City"|"No religion"|"55-59 years"|"Male"|"2018"|1614|
"Hamilton City"|"No religion"|"55-59 years"|"Female"|"2018"|1488|
"Hamilton City"|"Object to answering"|"55-59 years"|"Male"|"2018"|342|
"Hamilton City"|"Object to answering"|"55-59 years"|"Female"|"2018"|363|
"Waipa District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|756|
"Waipa District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|951|
"Waipa District"|"No religion"|"55-59 years"|"Male"|"2018"|861|
"Waipa District"|"No religion"|"55-59 years"|"Female"|"2018"|699|
"Waipa District"|"Object to answering"|"55-59 years"|"Male"|"2018"|189|
"Waipa District"|"Object to answering"|"55-59 years"|"Female"|"2018"|174|
"Otorohanga District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|150|
"Otorohanga District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|171|
"Otorohanga District"|"No religion"|"55-59 years"|"Male"|"2018"|153|
"Otorohanga District"|"No religion"|"55-59 years"|"Female"|"2018"|105|
"Otorohanga District"|"Object to answering"|"55-59 years"|"Male"|"2018"|45|
"Otorohanga District"|"Object to answering"|"55-59 years"|"Female"|"2018"|36|
"South Waikato District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|366|
"South Waikato District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|444|
"South Waikato District"|"No religion"|"55-59 years"|"Male"|"2018"|363|
"South Waikato District"|"No religion"|"55-59 years"|"Female"|"2018"|309|
"South Waikato District"|"Object to answering"|"55-59 years"|"Male"|"2018"|84|
"South Waikato District"|"Object to answering"|"55-59 years"|"Female"|"2018"|93|
"Waitomo District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|138|
"Waitomo District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|177|
"Waitomo District"|"No religion"|"55-59 years"|"Male"|"2018"|153|
"Waitomo District"|"No religion"|"55-59 years"|"Female"|"2018"|120|
"Waitomo District"|"Object to answering"|"55-59 years"|"Male"|"2018"|39|
"Waitomo District"|"Object to answering"|"55-59 years"|"Female"|"2018"|42|
"Taupo District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|528|
"Taupo District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|672|
"Taupo District"|"No religion"|"55-59 years"|"Male"|"2018"|627|
"Taupo District"|"No religion"|"55-59 years"|"Female"|"2018"|537|
"Taupo District"|"Object to answering"|"55-59 years"|"Male"|"2018"|105|
"Taupo District"|"Object to answering"|"55-59 years"|"Female"|"2018"|123|
"Western Bay of Plenty District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|771|
"Western Bay of Plenty District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1014|
"Western Bay of Plenty District"|"No religion"|"55-59 years"|"Male"|"2018"|1005|
"Western Bay of Plenty District"|"No religion"|"55-59 years"|"Female"|"2018"|852|
"Western Bay of Plenty District"|"Object to answering"|"55-59 years"|"Male"|"2018"|192|
"Western Bay of Plenty District"|"Object to answering"|"55-59 years"|"Female"|"2018"|216|
"Tauranga City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1674|
"Tauranga City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|2199|
"Tauranga City"|"No religion"|"55-59 years"|"Male"|"2018"|1902|
"Tauranga City"|"No religion"|"55-59 years"|"Female"|"2018"|1821|
"Tauranga City"|"Object to answering"|"55-59 years"|"Male"|"2018"|357|
"Tauranga City"|"Object to answering"|"55-59 years"|"Female"|"2018"|411|
"Rotorua District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1044|
"Rotorua District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1341|
"Rotorua District"|"No religion"|"55-59 years"|"Male"|"2018"|981|
"Rotorua District"|"No religion"|"55-59 years"|"Female"|"2018"|873|
"Rotorua District"|"Object to answering"|"55-59 years"|"Male"|"2018"|213|
"Rotorua District"|"Object to answering"|"55-59 years"|"Female"|"2018"|240|
"Whakatane District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|573|
"Whakatane District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|744|
"Whakatane District"|"No religion"|"55-59 years"|"Male"|"2018"|540|
"Whakatane District"|"No religion"|"55-59 years"|"Female"|"2018"|474|
"Whakatane District"|"Object to answering"|"55-59 years"|"Male"|"2018"|114|
"Whakatane District"|"Object to answering"|"55-59 years"|"Female"|"2018"|132|
"Kawerau District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|87|
"Kawerau District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|144|
"Kawerau District"|"No religion"|"55-59 years"|"Male"|"2018"|96|
"Kawerau District"|"No religion"|"55-59 years"|"Female"|"2018"|69|
"Kawerau District"|"Object to answering"|"55-59 years"|"Male"|"2018"|27|
"Kawerau District"|"Object to answering"|"55-59 years"|"Female"|"2018"|36|
"Opotiki District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|168|
"Opotiki District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|216|
"Opotiki District"|"No religion"|"55-59 years"|"Male"|"2018"|144|
"Opotiki District"|"No religion"|"55-59 years"|"Female"|"2018"|141|
"Opotiki District"|"Object to answering"|"55-59 years"|"Male"|"2018"|30|
"Opotiki District"|"Object to answering"|"55-59 years"|"Female"|"2018"|54|
"Gisborne District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|729|
"Gisborne District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|945|
"Gisborne District"|"No religion"|"55-59 years"|"Male"|"2018"|630|
"Gisborne District"|"No religion"|"55-59 years"|"Female"|"2018"|549|
"Gisborne District"|"Object to answering"|"55-59 years"|"Male"|"2018"|168|
"Gisborne District"|"Object to answering"|"55-59 years"|"Female"|"2018"|195|
"Wairoa District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|177|
"Wairoa District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|225|
"Wairoa District"|"No religion"|"55-59 years"|"Male"|"2018"|99|
"Wairoa District"|"No religion"|"55-59 years"|"Female"|"2018"|75|
"Wairoa District"|"Object to answering"|"55-59 years"|"Male"|"2018"|21|
"Wairoa District"|"Object to answering"|"55-59 years"|"Female"|"2018"|24|
"Hastings District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1302|
"Hastings District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1671|
"Hastings District"|"No religion"|"55-59 years"|"Male"|"2018"|1149|
"Hastings District"|"No religion"|"55-59 years"|"Female"|"2018"|933|
"Hastings District"|"Object to answering"|"55-59 years"|"Male"|"2018"|243|
"Hastings District"|"Object to answering"|"55-59 years"|"Female"|"2018"|288|
"Napier City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|846|
"Napier City"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1101|
"Napier City"|"No religion"|"55-59 years"|"Male"|"2018"|951|
"Napier City"|"No religion"|"55-59 years"|"Female"|"2018"|882|
"Napier City"|"Object to answering"|"55-59 years"|"Male"|"2018"|186|
"Napier City"|"Object to answering"|"55-59 years"|"Female"|"2018"|246|
"Central Hawke's Bay District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|246|
"Central Hawke's Bay District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|282|
"Central Hawke's Bay District"|"No religion"|"55-59 years"|"Male"|"2018"|240|
"Central Hawke's Bay District"|"No religion"|"55-59 years"|"Female"|"2018"|210|
"Central Hawke's Bay District"|"Object to answering"|"55-59 years"|"Male"|"2018"|72|
"Central Hawke's Bay District"|"Object to answering"|"55-59 years"|"Female"|"2018"|51|
"New Plymouth District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|1155|
"New Plymouth District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|1506|
"New Plymouth District"|"No religion"|"55-59 years"|"Male"|"2018"|1257|
"New Plymouth District"|"No religion"|"55-59 years"|"Female"|"2018"|1101|
"New Plymouth District"|"Object to answering"|"55-59 years"|"Male"|"2018"|297|
"New Plymouth District"|"Object to answering"|"55-59 years"|"Female"|"2018"|330|
"Stratford District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|162|
"Stratford District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|171|
"Stratford District"|"No religion"|"55-59 years"|"Male"|"2018"|153|
"Stratford District"|"No religion"|"55-59 years"|"Female"|"2018"|117|
"Stratford District"|"Object to answering"|"55-59 years"|"Male"|"2018"|51|
"Stratford District"|"Object to answering"|"55-59 years"|"Female"|"2018"|45|
"South Taranaki District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Male"|"2018"|426|
"South Taranaki District"|"Total people - with at least one religious affiliation"|"55-59 years"|"Female"|"2018"|504|
